a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
aaronic,adj.亚伦的
abacterial,adj.非细菌性的
abactinal,adj.无触角的
abandoned,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的"
abasable,"adj.可贬黜的,可降低的"
abashed,"adj.不安的,窘迫的"
abaxial,adj.离轴的
abbatial,adj.修道院长的
abbevillian,adj.&n.阿布维利文化(的)(指欧洲旧石器时代初期较早阶段的文化)
abbreviated,"adj.简短的,仅可蔽体的,小型的"
abbreviative,"adj.缩写的,缩略的"
abbreviatory,"adj.缩写的,缩略的,省略的"
abdicable,"adj.可放弃的,可辞职的"
abdicant,n.退位者adj.逊位的
abdominal,adj.腹部的
abdominous,"adj.大肚子的,肥胖的"
abducent,adj.向外扩展的
abeam,adv.adj.与船的龙骨成直角
abecedarian,"n.初学者,学字母者adj.字母的,初步的"
abegging,adj.[一般作表语] &adv.无人问津的(地)
aberdonian,n.(苏格兰港市)阿伯丁人;adj.阿伯丁人的
aberrant,adj.异常的
aberrated,adj.=aberrant
abeyant,"adj.中止的,暂时搁置的"
abhorrent,"adj.可恶的,格格不入的"
abiding,v.容忍;adj.持久的
abiogenetic,"adj.自然发生的,偶发的,自然发生论的;adj.[生]自然发生的,无生源说的"
abiological,adj.非生物的
abiotic,"adj.无生命的,非生物的"
abirritant,"adj.减轻刺激的,缓和的"
abirritative,"adj.镇静的,消除紧张的"
abject,"adj.卑鄙的,可怜的"
abjective,"adj.不幸的,令人沮丧的"
abkhazian,"n.阿布哈西亚人,阿布哈西亚语;adj.阿布哈西亚的"
ablare,"adj.喧闹的;adv.喧哗地,吵闹地"
ablatival,adj.离格的
ablative,adj.离格的;n.离格
ablaze,"adj.adv.着火的,激动的,闪耀的"
able,"adj.能...的,有才能的,能干的,能够的"
ablebodied,"adj.强壮的,强健的"
ablepharous,adj.[医]没有眼睑的(畸形)
abloom,adv.开花;adj.开花的
abluent,n.洗洁剂;adj.洗净的
ablush,adj.(因羞愧、窘迫等而)脸红的adv.脸红
abluted,"adj.被洗净的,被冲洗掉的"
ablutionary,"adj.沐浴的,洗礼的"
abnormal,"adj.反常的,变态的"
abo,"adj.<澳> (=aborigine) 土佬(对澳洲土著的蔑称)的 (Abo)adj.(AuE) 当地的,土著的,土著居民的"
aboil,"adj.沸腾的,激烈的;adv.沸腾着"
abolishable,"adj.可废止的,可取消的"
abominable,"adj.讨厌的,令人憎恶的"
aboral,"adj.离口的,对口的"
aborative,"adj.仔细的,精心的,煞费苦心的"
aboriginal,"adj.土著的,原来的n.土著居民"
aborning,adj.产生中的
aborted,"adj.流产的,失败的"
abortifacient,n.[医]堕胎药;adj.堕胎的
abortive,"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的"
abounding,"adj.丰富的,大量的"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
aboveboard,adj.光明正大的
abovestairs,"n.主卧房,楼上房间;adj.在楼上的adv.在楼上"
abradant,adj.摩擦着的;n.磨蚀剂
abranchial,"adj.[动] 无鳃的,无鳃类的"
abrasive,n.研磨剂;adj.研磨的
abridgable,adj.(=abridgeable)可以删节的
abridged,"adj.削减的,删节的"
abroach,adv.开个口使水流出;adj.开口的
abrupt,"adj.突然的,陡峭的,生硬的"
abscessed,adj.长脓疮的
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absentminded,"adj.心不在焉的,茫然的,恍惚的"
absinthine,adj.像苦艾的
absolute,"adj.完全的,绝对的"
absolutory,"adj.给予赦免的,给予宽恕的"
absolvable,adj.可赦免的
absolvent,adj.赦免的
absonant,"adj.不协调的,不和谐的"
absorbable,"adj.可吸收的,容易被吸收的"
absorbant,adj.=absorbent
absorbed,"adj.全神贯注的,一心一意的"
absorbefacient,adj.吸收性的;n.吸收剂
absorbent,adj.能吸收的;n.吸收剂
absorbing,"adj.吸引人的,非常有趣的"
absorptive,"adj.吸收性的,有吸收力的"
abstemious,"adj.有节制的,节约的"
abstentious,adj.有节制的
abstergent,adj.去垢的;n.洗洁剂
abstersive,"adj.使洁净的,去垢的"
abstinent,"adj.饮食有度的,有节制的,禁欲的;n.禁欲者"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
abstracted,"adj.心不在焉的,出神的"
abstractive,"adj.具有抽象能力的,摘要式的"
abstruse,"adj.奥妙的,深奥的"
absurd,"adj.荒谬的,可笑的"
abuilding,adj.在建造中的
abuliding,"adj.酝酿中的,兴建中的"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
abusive,"adj.辱骂的,滥用的"
abustle,"adj.忙碌的,熙来攘往的"
abutting,adj.邻接的
abuzz,"adj.嗡嗡的,嘁嘁喳喳的,活泼的"
abysmal,"adj.深不可测的,无底的"
abyssal,"adj.深渊的,深海的"
abyssalbenthic,adj.(=abyssobenthic)深海海底的
abyssalpelagic,adj.(=abyssopelagic)深海水域的
abyssinian,"adj.阿比西尼亚的n.阿比西尼亚人,依索比亚人"
abyssopelagic,adj.[海洋]深渊的
academic,"adj.学院的,理论的"
acadian,"adj.阿卡迪亚的,阿卡迪亚人的"
acalycine,adj.无花萼的
acalycinous,adj.[植](=acalycine)无花萼的
acanthoid,"adj.棘状的,刺状的"
acanthopterygian,n.棘鳍类的鱼adj.棘鳍类的
acanthous,adj.=acanthoid
acardiac,adj.<希> [医] 无心畸形的
acaridan,n.&adj.=acarid
acarine,n.&adj.=acarid
acarpellous,adj.[植](花)无心皮的
acarpelous,adj.[植](花)无心皮的
acarpous,"adj.[植]不结果的,无果实的"
acatalectic,adj.(诗行)音节数完整的
acataleptic,"adj.不能理解的,不可知的"
acaudal,adj.[动]无尾的
acaudate,adj.[动]没有尾巴的
acaulescent,adj.[植]无茎的
accadian,adj.&n.=Akkadian
accelerando,adj.[乐]渐速的adv.[乐]渐速地n.[乐]渐速音
accelerated,adj.加速的
accelerative,"adj.加速的,催促的"
acceleratory,"adj.(=accelerative)加速的,催促的"
accentual,"adj.重音的,有抑扬的"
acceptable,"adj.可接受的,合意的"
acceptant,adj.容易接受的
accepted,"adj.一般承认的,公认的"
acceptive,"adj.易接纳的,可领受的"
accessable,adj.可接近的
accessary,"n.[律]同谋,帮凶,从犯adj.同谋的,帮凶的"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
accessional,adj.附加的 另外的
accessorial,"adj.附属的,辅助的,增加的,补充的"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
accidental,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
accidentalist,n.偶然论者adj.偶然论的
accidented,adj.凹凸不平坦的
accidentproof,adj.(用具或器具等)可防止意外或减少意外机会的
accipitral,"adj.鹰的,鹰似的,贪婪凶猛的"
acclamatory,"adj.欢呼的,喝彩的"
acclivitous,"adj.倾斜的,上斜的"
acclivous,adj.向上斜的
accommodable,"adj.可适合的,可适应的"
accommodating,"adj.乐于助人的,随和的,善于适应新环境的"
accommodationist,"n.妥协者adj.妥协的,迁就的"
accommodative,adj.=accommodating
accompanying,"adj.陪伴的,附随的"
accomplishable,"adj.可达成的,可完成的"
accomplished,"adj.完成的,熟练的,多才多艺的"
accordant,adj.一致的
accordion,n.手风琴adj.可折叠的
accostable,adj.易接近的
accountable,"adj.应负责的,有责任的,可解释的"
accredited,"adj.可接受的,可信任的,公认的,质量合格的"
accrescent,"adj.成长的,增大的"
accrete,"vi.共生,合生,附着;vt.使依附,使连接;adj.共生的"
accumbent,adj.横卧的
accumulative,"adj.积聚的,累积的"
accurate,"adj.正确的,精确的"
accurst,"adj.被咒的,可憎恨的,讨厌的"
accusable,"adj.可指控的,有可非难之处的"
accusatival,"adj.宾语的,宾格的"
accusative,"adj.&n.宾格(的),宾语(的)"
accusatorial,"adj.控告者的,责问的"
accusatory,"adj.非难的,控诉的,指责的"
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
ace,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者);adj.一流的;[军]Allied Command Europe,欧洲盟军司令部"
acellular,"adj.非细胞的,非细胞组成的"
acentric,"adj.无中心的,离心的"
acephalous,"adj.无头的,群龙无首的"
aceraceous,adj.槭树科的
acerate,"adj.[生物]一端尖的,针状的"
acerb,"adj.酸涩的,尖锐的,刻薄的"
acerbate,"vt.使发怒,使烦恼;adj.恼怒的"
acerbating,"adj.使发怒的,使烦恼的"
acerbic,"adj.酸的,尖刻的"
acerose,"adj.[植]细长的,针状的"
acerous,"adj.[动]无角的,无触须的"
acervate,"adj.[植]成堆生长的,簇生的"
acescent,adj.变酸的
acesodyne,"n.止痛,止痛药adj.止痛的"
acetabuliform,adj.碟状的
acetarious,"adj.凉拌用的,拌生菜食用的"
acetated,adj.[化]用醋酸处理过的
acetic,"adj.[化]醋的,乙酸的"
acetose,"adj.酸的,醋一样酸的"
acetous,"adj.产生醋酸的,酸的,有酸味的"
acetylic,adj.乙酰基群的
achaean,"adj.亚该亚的,希腊的;n.亚该亚人,希腊人"
achaetous,adj.[动]无刚毛的
achaian,adj.&n.=Achaean
acheulean,adj.[考古]阿舍利时期的
acheulian,adj.欧洲旧石器时代早期文化的
achievable,"adj.做得成的,可完成的,可有成就的"
achillean,"adj.阿基里斯的,勇敢的"
aching,"adj.痛的,疼痛的,心痛的"
achlamydeous,adj.[植]无花被的
achlorophyllous,adj.[植]无叶绿素的
achordate,adj.&n.[动]无脊索的(动物)
achromatic,"adj.消色差的,非彩色的"
