a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
aardvark,n.[动]土豚
aardwolf,n.[动]土狼
aasvogel,n.[动]南非秃鹫
abalone,n.<美>[动]鲍鱼(软体动物)
abranchial,"adj.[动] 无鳃的,无鳃类的"
abranchiate,n.[动]无鳃动物
acaleph,n.[动]水母
acalephe,n.[动](=acaleph)水母
acanthaster,n.[动] 刺冠海星
acaudal,adj.[动]无尾的
acaudate,adj.[动]没有尾巴的
acerous,"adj.[动]无角的,无触须的"
achaetous,adj.[动]无刚毛的
achordate,adj.&n.[动]无脊索的(动物)
acoelomate,adj.[动]无体腔的
acoelous,adj.[动]无体腔的
acouchi,n.[动]长尾刺鼠
acrodont,"adj.[解][动]边齿的,颌缘的"
actinia,n.[动]海葵
actiniform,adj.[动]放射形的
acutilingual,"adj.[动]尖舌的,尖嘴的"
adactylous,"adj.[动]无指的,无趾的,指趾全无的"
addax,n.[动]曲角羚羊(产于北非)
adder,"n.[计]加法器,[动]小毒蛇,(北美产无毒的)猪鼻蛇"
adnation,"[动][植]合生,侧生"
aestivate,"vi.过夏季,[动]夏眠"
agama,n.[动]飞龙科蜥蜴
agamont,"n.[动]非生配体,裂殖体"
agouti,"n.[动]刺豚鼠,刺豚鼠皮毛上的深浅环纹"
ahermatype,n.[动]不造礁珊瑚
aliped,"adj.[动]有翼膜的,有翼肢的"
allantoic,"adj.[动]尿囊的,尿囊内的,有尿囊的"
allantoid,"adj.[动]尿囊的,尿囊样的n.尿膜,尿囊"
allantois,n.[动]尿囊
alpaca,"n.[动](南美的)羊驼,羊驼毛,羊驼呢(织物)"
alula,n.[动](鸟类的)小翼羽
amadavat,"n.[动] 莓莺(产于印度的观赏鸟),梅花雀"
ambulacral,adj.[动]步带的
ambulacrum,n.[动]步带
ameba,"n.[动]阿米巴,变形虫"
amebic,"adj.[动]阿米巴的,变形虫的"
ammonotelic,adj.[动]排泄氨的(指淡水鱼、 蛙等排出氨为主要氮废物)
ammonotelism,n.[动]排氨代谢
amnionic,"adj.[动][解]羊膜的,有羊膜的"
amniotic,"adj.[动]羊膜的,羊膜动物的adj.[动][解]羊膜的,有羊膜的"
amphibia,[复]n.[动]两栖纲
amphibiotic,"adj.[动]幼时生长于水中,长大生活在陆地的"
amphicoelian,adj.[动](鱼的脊椎骨等)两凹的
amphicoelous,adj.[动]两端或两面皆凹的adj.[动](鱼的脊椎骨等)两凹的
amphineura,[复]n.[动]双神经纲
amphisbaenian,n.&adj.[动]蚓蜥(的)
amplexus,n.[动]抱合(指雌的蛙或蟾产卵于水时雄的蛙或蟾抱合排精的求偶行动)
anaconda,"n.[动]水蟒(产于南美洲),似水蟒的大蟒"
anarthrous,"adj.[动]无关节的,无节足的,(古希腊名词)不用冠词的"
anchylosis,"n.(=ankylosis)[医]关节僵硬,[动]长合关节"
anemone,"n.[植]银莲花,[动]海葵"
anestrous,adj.[动]不动情期的
anestrus,n.[动]不动情期
angleworm,n.<美>[动]蚯蚓(尤指用作钓饵的)
angora,"n.[动]安哥拉猫(羊,兔) (angora)n. 安哥拉山羊"
anguifauna,n.[动]蛇区系
angwantibo,"n.[动]金熊猴(产西非丛林,鼻细长,有小尾)"
anisodactylous,adj.[动]足趾长短不等的
annelid,n.[动] 环节动物
annelida,"n.[动]环节动物门,环虫类"
anoa,n.[动]小野牛(产于印度尼西亚西里伯岛)
anomalure,n.[动]鳞尾松鼠
anteater,n.[动]食蚁动物
anthozoa,n.[动]珊瑚虫类
anthozoan,"n.[动]珊瑚纲海产动物(包括角珊瑚,石珊瑚等),珊瑚虫"
anthozoic,adj.[动]珊瑚虫的
antimeric,"adj.[动]对称部分的,体辐的"
anuran,n.[动]无尾目类动物adj.无尾类的
anurous,adj.[动]无尾的
anury,"n.[动]无尾,无尾性"
aoudad,n.[动]鬣羊(产于北美洲的一种野羊)
aphid,n.[动]蚜虫
appaloosa,"n.[动]阿帕卢萨马(产于美国西部,臀及腰部有斑纹)"
apterygial,"adj.[动]无翼的,无肢的"
apteryx,n.[动] (=kiwi) 几维(新西兰产的无翼走禽)n.<口> 新西兰人
arachnidan,n.[动]节肢类的动物adj.节肢类的
arachnology,n.[动]节肢动物学
araneid,n.[动]蜘蛛
araneology,n.[动]蜘蛛学
archicerebrum,n.[动]原脑
ardeid,adj.[动]属于鹭科的
ardeidae,n.[动]鹭科
argali,"n.<蒙>[动]盘羊,原羊"
arrowworm,n.[动]箭虫(毛颚动物门箭虫科动物)
artiodactyl,n.[动]偶蹄动物adj.偶蹄动物的
artiodactylous,adj.[动]偶蹄动物的
ascarid,n.[动]蛔虫
ascidian,n.[动]海鞘类
asterid,n.[动]海盘车
atlantosaurus,n.[动]载域龙(属蜥龙类蜥脚亚目载域龙科)
atria,"[解]心房,心耳,内耳窝,[建](古罗马建筑的)前室,前庭,[动]排泄腔"
auricula,"n.[植]耳状报春花,[动]耳螺属软体动物"
autogamy,"n.[植]自花受粉,[动]自体受精,自核交配"
autotomy,n.[动]自割(当虾、蜥蜴等动物遭到攻击时脚、爪、尾等会自动脱落的反射作用)
aves,n.[动]鸟类
axostyle,n.[动]轴杆(某些鞭纲动物的能屈曲的有机质细骨杆)
babacoote,n.[动]大狐猴
baboon,n.[动]狒狒
bacalao,n.[动] 鲈科鱼类(西印度产)
banteng,"n.[动]白臀野牛,爪哇野牛(产于南亚和东南亚,经驯化可用作耕畜)"
barramunda,n.[动] 澳洲肺鱼
basenji,n.[动]巴辛吉(产于非洲的小猎狗)
basketfish,"n.[动]筐蛇尾,筐鱼(一种似海星的棘皮动物)"
batrachia,[动]蛙类
biannulate,"adj.[动]有二环纹的,具两个色环的"
bighorn,"n.<美>[动]大角羊,加拿大盘羊"
bilharzia,n.[动]裂体血吸虫
bimana,[复]n.[动]两手类
bimanual,"adj.[动]用双手的,须用两手的"
binturong,n.[动]熊狸
biocellate,"adj.[动]有两个单眼的,有两个瞳点的"
bipectinate,adj.[动][植]双栉形的
bipectinated,adj.[动][植]双栉形的
biramose,"adj.[动]具二枝的,二枝的"
biramous,"adj.[动]具二枝的,二枝的"
blackbuck,n.[动]印度羚(背黑腹白)
bladdernose,n.[动]冠海豹
bladderworm,n.[动]囊尾幼虫
bontbok,n.[动]南非白纹大羚羊
bontebok,n.[动]南非白纹大羚羊
boomslang,n.[动]非洲树蛇
boschvark,n.[动]南非野猪
bottlenose,n.[动]宽吻海豚
bouquetin,"n.[动] 北山羊,羱羊"
brachiopoda,[复]n.[动]腕足门
brachyurous,adj.[动]短尾亚目的
brambling,"n.[动](欧,亚洲的)燕雀,花鸡"
brent,n.[动]黑雁
brock,"n.[动]獾n.<英俚> 臭家伙,坏蛋"
brocket,"n.[动](欧洲产)两岁雄鹿,(南美洲)短角鹿"
bronco,n.[动]野马(指美国西部平原的)
bryozoa,n.[动]苔藓虫门
bubal,n.[动] (北非产的)狷羚
budworm,n.[动]蚜虫
buffalo,"n.[动](印度,非洲等的)水牛 <美>[动]美洲野牛"
bull,"n.[动]公牛,粗壮如牛的人"
bullmastiff,n.[动]牛头獒(牛头犬与獒的杂交种)
bullterrier,n.[动] 嚣獍
bumblebee,n.[动]大黄蜂
bunting,n.[动] 颊白鸟之类
burro,n.[动]驴子(尤指美国西南部用作驮畜的驴)
bustard,n.[动] 大鸨
butcherbird,n.[动]伯劳鸟
butterfly,n.[动]蝴蝶 蝶泳
buzzard,"n.[动]秃鹰类,贪婪的人"
cabbageworm,n.[动]吃甘蓝菜的害虫
calycoid,"adj.[植]萼状的,[动]似杯状小体的"
calycoideous,"adj.[植]萼状的,[动]似杯状小体的"
calycular,adj.[动]杯状构造的
calyculate,"adj.[植]有副萼的,[动]有杯状小体的"
calyx,"n.[植]花萼,[动]盏,盂,杯壮部(或腔)"
camaron,"n.[动](产于淡水中的)斑节虾,对虾"
camelopard,n.[动]长颈鹿的古名
canalicular,"adj.[动][植]小管的,微管的 似小管的,似微管的"
canary,"n.[动]金丝雀,淡黄色"
canid,n.[动]犬科动物(包括家犬、狼、狐等)
capercaillie,n.[动]北欧产雷鸟之一种
capercaillye,n.[动]北欧产雷鸟之一种
capercailzie,n.[动]北欧产雷鸟之一种
capybara,n.[动]水豚(产于南美湖泊溪流间的啮齿动物)
caracal,"n.[动]狞獾,狞獾皮毛"
caracara,n.[动](产于中南美洲吃腐肉的)长腿兀鹰
carcajou,n.[动]狼獾
carcinology,n.[动]蟹学
cardo,"n.[动]轴节,阳(茎)基环"
carpophagous,"adj.[动]食果实的,以果实为生的"
cassowary,"n.[动]食火鸡(Casuarius,产于澳大利亚,新几内亚)"
catalo,n.[动]家牛与美洲野牛的杂交牛
catbird,"n.[动]猫声鸟,猫鹊(产于北美的一种鸣禽)"
cattalo,n.(catalo之变体)<美>[动](美洲野牛与家牛杂交的)杂种牛
caudate,"adj.[动]有尾的,有尾状附属物的"
caudated,"adj.(=caudate)[动]有尾的,有尾状附属物的"
cavalla,n.[动]竹荚鱼科之鱼
cavy,"n.[动]豚鼠,天竺鼠"
cayman,n.[动](中、南美所产的)鳄鱼
cercaria,"n.[动]摇尾幼虫,尾蚴"
cercarial,"adj.[动]摇尾幼虫的,尾蚴的"
cestode,n.[动]绦虫
cetacea,n.[动]鲸类
chacma,n.[动](南非产的一种)大狒狒
chaetopod,n.[动]毛足动物(如蚯蚓、水蛭等)
chamois,"n.[动]岩羚羊(产于欧洲和西亚地区的小羚羊),羚羊皮,麂皮,擦拭用的软皮"
cheetah,"n.[动]印度豹(一种似豹的动物,产于南亚及非洲)"
chelicera,n.[动]前肢之螯
cheliceral,adj.[动]前肢之螯的
chelifer,"n.[动]恶蚬,螯蝎(栖于书籍堆中的一种属于蜘蛛类的小虫)"
cheliferous,adj.[动]带螯的
cheliform,adj.[动]螯状的
cheliped,n.[动]带螯的前肢
chiffchaff,n.[动]棕柳莺
chigetai,"n.[动]骞驴,(亚洲)野驴"
