a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
abasia,n.[医] (神经系统疾病引发的)步行不能
abiotrophy,"n.[医]营养性衰竭,生活力缺失"
ablepharous,adj.[医]没有眼睑的(畸形)
ablepsia,"n.[医](=ablepsy)失明,视觉缺失"
aborticide,"n.[医]堕胎,堕胎药"
abortifacient,n.[医]堕胎药;adj.堕胎的
absinthism,n.[医]苦艾酒中毒
acalculia,n.[医]计算力缺失
acardia,n.<希> [医] 无心畸形
acardiac,adj.<希> [医] 无心畸形的
acatalasemia,"n.[医]无触酶血,缺过氧化氢酶血"
acatalasia,"n.[医]无触酶症,过氧化氢酶缺乏症"
acetonaemia,n.[医]丙酮血(症)
achalasia,n.[医]弛缓不能
achlorhydria,n.[医]胃酸缺乏
acholuria,n.[医]无胆尿
achromasia,n.[医]色素缺乏
acidaemia,n.[医]酸血(症)
acidemia,n.[医]酸血症
acidity,"n.酸度,酸性,[医]酸过多,胃酸过多"
acidophil,"n.嗜酸细胞adj.嗜酸的;n.[医]嗜酸细胞,嗜酸细菌"
acidophile,"n.[医]嗜酸细胞,嗜酸细菌"
aciduria,n.[医]酸尿
acneigenic,adj.[医]致痤疮的
acnemia,"n.[医]腓肠部萎缩症,无腿(畸形)"
acouophonia,"n.[医]听诊,音响诊断"
acrocyanosis,n.[医]手足发绀
acrodynia,n.[医]肢端痛
acropathy,n.[医]四肢病
acrophobia,n.[医]恐高症
acrotism,n.[医]弱脉
actinodermatitis,"n.[医]X光皮炎,放射皮炎"
actinotheraphy,n.[医]放射疗法
actinotherapy,n.[医]射线疗法
acute,"adj.敏锐的,[医]急性的,剧烈"
adenalgia,n.[医]腺痛
adenitis,n.[医]腺炎
adenoacanthoma,n.[医]腺棘皮癌
adenocarcinoma,n.[医]腺癌
adenoidectomy,n.[医]增殖腺切除术
adenoids,"n.[医]腺状肿大,扁桃腺肥大"
adenoma,n.[医]腺瘤
adenomatoid,adj.[医]腺瘤(状)的
adenomatous,adj.[医]腺瘤(状)的
adenosis,n.[医] 腺病
adiaphoresis,"n.[医]不能出汗,无汗"
adipoma,n.[医]脂肪瘤
adiposis,n.[医]肥胖病
adipsia,n.[医]渴感缺乏
adrenalectomize,v.[医]肾上腺切除
adrenalectomy,n.[医]肾上腺切除术
adrenotropic,"adj.[医]促肾上腺的,亲肾上腺的"
adynamia,"n.[医]体力缺乏,无力"
aeroallergen,"n.[医]高空过敏症,气源性致敏原"
aerophagia,n.[医]吞气症
afterpains,n.[医]产后痛
aftertreatment,"n.再处理,[医]病后疗法,术后治疗(法)"
agammaglobulinaemia,n. [医]( 血内) 丙种球蛋白缺乏症
aglossia,n.[医]无舌(畸形)
agnosia,n.[医]认识不能
agoraphobe,"n.[医]广场恐惧症,旷野恐怖症"
agraphia,n.[医]因脑受伤致不能写字的失写症
ahf,antihemophilic factor[医]抗血友病因子
airbrasive,n.[医]磨牙的气压机械
akathisia,n.[医]静坐不能
akinesia,"n.[医]运动不能,失运动能"
akinetic,adj.[医]运动不能的
alalia,"n.[医]言语不清,哑"
alastrim,"n.[医]亚天花,类天花"
albinism,"n.[医]白化病,皮肤变白症"
albuminuria,n.[医]蛋白尿
alexia,n.[医]失读症
alexin,"n.[医]杀菌素,补体,防御素"
algesia,n.[医]感觉过敏
algolagnia,"n.[医]变态淫乐,性虐狂"
algophobia,n.[医]疼痛恐怖
algor,n.[医](发烧前的)寒冷
alienism,"n.外侨身份,[医]精神病学(尤指法庭精神病学)"
alkalemia,n.[医]碱血症
allergen,"n.[医]变态反应原,过敏原"
allergenic,adj.[医]引起过敏症的
allergic,"adj.[医]过敏的,患过敏症的"
allergin,n.[医]变应素
allergist,n.[医]过敏症专科医师
allergy,"n.[医]敏感症,<口>反感"
allograft,[医]n.同种异体移植物
allopathy,n.[医]对抗疗法
allotransplant,[医]vt.同种异体移植
alogia,n.[医]失语症
alopecia,n.[医]秃头症
alphosis,n.[医]皮肤色素缺乏症
alterative,"adj.(趋于)改变的,[医]变质的,使体质逐渐康复的n.[医]变质剂,体质改善疗法"
alveoloplasty,n.[医]牙槽成形术
amelia,"n.阿米莉娅(亦作 Amalia)(f.) n.[医]缺肢(畸形),无肢(畸形)"
