-ability,【名词后缀】由-able＋-ity而成，构成抽象名词，表示“可…性”、“易…性”、“可…”
-able,【形容词后缀】表示“可…的”、“能…的”，或具有某种性质的
-ably,【副词后缀】由-able转成，表示“可…地”、“…地”
-aceous,【形容词后缀】表示有…性质的、属于…的、如…的、具有…的
-acious,【形容词后缀】表示多…的、有…性质的、属于…的、具有…的
-acity,【名词后缀】构成抽象名词，表示性质、状态、情况，与形容词后缀-acious相对应
-acle,【名词后缀】构成实物名词及抽象名词
-acy,【名词后缀】构成抽象名词，表示性质、状态，行为、职权等
-ade,【名词后缀】1. 表示行为、状态，事物2. 表示物（由某种材料制成者或按某种形状制成者）3. 表示参加某种行动的个人或集体
-age,【名词后缀】1. 表示集合名词、总称2. 表示场所、地点3. 表示费用4. 表示行为或行为的结果5. 表示状态、情况、身份及其他6. 表示物
-ain,【名词后缀】表示人
-aire,【名词后缀】表示人
-al,1.【形容词后缀】表示属于…的、具有…性质的、如…的2. 【名词后缀】1)构成抽象名词，表示行为、状况、事情2)表示人3)表示物
-ality,【名词后缀】复合后缀，由-al＋-ity而成，构成抽象名词，表示状态、情况、性质、“…性”
-ally,【副词后缀】复合后缀，由-al＋-ly而成，表示方式、程度、状态、“…地”
-an,1.【形容词后缀】表示属于…的、属于某地方的。带此后缀的形容词有的兼作名词，表示某地的人2.【名词后缀】表示人
-ance,【名词后缀】构成抽象名词，表示状态、情况、性质、行为，与-ancy同。许多词具有-ance与-ancy两种后缀形式
-ancy,【名词后缀】构成抽象名词，表示状态、情况、性质、行为，与-ance同。许多词具有-ance与-ancy两种后缀形式
-aneity,【名词后缀】构成抽象名词，表示性质、状态、情况，与-aneous相对应
-aneous,【形容词后缀】表示有…性质的、属于…的，一部分与-aneity相对应，参见上条
-ant,1.【形容词后缀】大部分与-ance或-ancy相对应，表示属于…的、具有…性质的2.【名词后缀】1)表示人2)表示物
-ar,1.【形容词后缀】表示有…性质的、属于…的、如…的2.【名词后缀】1)表示人2)表示物及其他
-ard,【名词后缀】表示人（大多含有贬义）
-arian,1.表示人2.带此后缀的名词有的可兼作形容词，表示…的、…主义的
-arium,【名词后缀】表示场所、地点、…馆、…室、…院、…所等
-ary,1.【形容词后缀】表示有…性质的、属于…的、关于…的2.【名词后缀】1)表示场所、地点2)表示人3)表示物及抽象名词
-ast,【名词后缀】表示人
-aster,【名词后缀】表示人（卑称）
-ate,1.【动词后缀】表示做、造成、使之成…、做…事等意义2.【形容词后缀】表示有…性质的、如…形状的、具有…的3.【名词后缀】表示人 表示职位、职权、总称等 构成化学名词，大多数表示由酸而成的盐类 
-atic,【形容词后缀】表示有…性质的、属于…的、具有…的
-ation,【名词后缀】1.表示行为、情况、状态2.表示行为的过程、结果，或由行为而产生的事物
-ative,表示有…性质的、与…有关的、属于…的、有…倾向的、有…作用的（带此后缀的词有的可兼作名词）
-ator,【名词后缀】表示做…工作的人或物
-atory,1.【形容词后缀】表示有…性质的、属于…的、具有…的（带有此后缀的形容词有的可兼作名词）2.【名词后缀】表示场所、地点
-ce,【副词后缀】表示“…次”、“自…”、“从…”
-cy,【名词后缀】表示性质、状态、职权、官衔
-dom,【名词后缀】1.表示情况、状态、性质、身份2.表示领域、“…界”、集体、总称
-ed,【形容词后缀】1.加在名词之后，表示“有…的”、“如…的”、“…的”2.加在动词之后，表示“已…的”、“被…的”、“…了的”
-ee,【名词后缀】1.表示人2.表示物
-eer,【名词后缀】表示人（专做某种工作或从事某种职业的人）
-el,【名词后缀】1.表示小2.表示人、集体3.表示物4.表示场所、地点
-en,1.【动词后缀】表示做、使成为…、使变成2.【形容词后缀】表示由…制成的、含有…质的、似…的3.【名词后缀】表示人 表示小称
-ence,【名词后缀】与形容词后缀-ent相对应（如difference—different），构成抽象名词，表示性质、状态、行为，义同-ency。有些词具有-ence和-ency两种后缀形式（如innocence=innocency）
-ency,【名词后缀】与形容词后缀-ent相对应（如urgency—urgent），构成抽象名词，表示性质、状态、行为，义同-ence。有些词具有-ency与-ence两种后缀形式（如persistency=persistence）
-end,【名词后缀】构成抽象名词，大多见于数学术语，亦作-and
-enne,【名词后缀】表示女性
-ent,1.【形容词后缀】与名词后缀-ence或-ency相对应，表示具有…性质的、关于…的2.【名词后缀】表示人 表示物（…剂、…药）
-eous,【形容词后缀】表示有…性质的、关于…的、如…的、具有…的，与-ous同
-er,1.【名词后缀】表示人 表示物 加在方位词上表示“…风”2.【动词后缀】表示反复动作、连续动作及拟声动作3.【形容词及副词后缀】表示比较级“更…”
-ern,1.【形容词后缀】加在方位词上表示“…方向的”2.【名词后缀】表示场所、地点
-ery,【名词后缀】1.表示场所、地点、工作处2.表示行为、状态、情况、性质3.表示行业、法、术、身份等
-esce,【动词后缀】表示动作开始或正在进行。它的对应名词后缀为-escence或-escency，它的对应形容词后缀为-escent
-escence,【名词后缀】构成抽象名词，表示开始、正在、逐渐形成某种状态、情况或性质，略…，似…，它的对应形容词后缀为-escent，亦作-escency。有些词具有-escence和-escency两种后缀形式
